   Vol_A   Vol_B
   0.97   0.06
   0.99   0.06
   0.79   0.11
   1.01   0.04
   0.88   0.16
   0.43   0.57
   0.65   0.29
   0.52   0.52
   0.68   0.33
   0.18   0.84
   0.11   0.91
   0.14   0.83
   0.81   0.13
   1.01   0.00
   1.04   0.00
   0.98   0.00
   0.83   0.07
   0.05   0.98
   0.03   0.94
   0.87   0.08
   0.82   0.14
   0.25   0.75
   0.29   0.67
   0.53   0.40
   0.94   0.14
   0.95   0.13
   0.79   0.12
   0.83   0.14
   0.95   0.10
   0.74   0.24
   0.91   0.12
   0.87   0.08
   1.01   0.00
   0.98   0.00
   1.06   0.00
   0.94   0.01
   0.42   0.51
   0.17   0.83
   0.23   0.69
   0.70   0.26
   0.62   0.41
   0.06   0.91
   0.21   0.70
   0.54   0.37
   0.20   0.79
   0.38   0.56
   0.58   0.38
   0.79   0.14
   1.02   0.00
   1.09   0.00
   0.88   0.00
   0.98   0.00
   0.90   0.04
   1.04   0.03
   1.02   0.00
   0.84   0.10
   0.11   0.81
   0.02   0.97
   0.14   0.85
   0.11   0.89
   0.01   0.95
   0.08   0.97
   0.82   0.15
   0.84   0.11
   0.08   0.95
   0.03   0.99
   0.80   0.14
   1.03   0.02
   1.14   0.00
   0.95   0.02
   0.98   0.06
   0.96   0.04
   0.73   0.18
   0.77   0.26
   0.95   0.07
   0.83   0.17
   0.07   0.97
   0.03   0.89
   0.70   0.41
   0.93   0.09
   0.36   0.60
   0.10   0.86
   0.67   0.22
   0.35   0.58
   0.01   0.95
   0.06   0.96
   0.21   0.75
   0.59   0.39
   1.08   0.01
   0.79   0.11
   0.48   0.52
   0.25   0.73
   0.07   0.94
   0.06   0.94
   0.14   0.84
   0.08   0.88
   0.04   0.95
   0.04   0.96
   0.45   0.60
   1.00   0.03
   1.05   0.02
   0.84   0.16
   0.70   0.35
   0.09   0.88
   0.10   0.88
   0.01   1.07
   0.02   1.00
   0.27   0.65
   0.92   0.05
   0.75   0.25
   0.03   1.05
   0.02   0.99
   0.21   0.75
   0.15   0.83
   0.12   0.92
   0.04   0.95
   0.11   0.94
   0.01   1.07
   0.04   0.93
   0.68   0.21
   0.97   0.03
   0.97   0.09
   0.94   0.03
   0.92   0.10
   0.77   0.19
   0.03   0.90
   0.02   1.01
   0.67   0.33
   0.99   0.02
   0.76   0.17
   0.06   0.92
   0.26   0.67
   0.83   0.08
   0.41   0.54
   0.11   0.87
   0.34   0.66
   0.30   0.69
   0.07   0.89
   0.08   0.98
   0.65   0.29
   1.01   0.06
   1.01   0.05
   0.98   0.06
   0.96   0.04
   0.84   0.15
   0.05   0.94
   0.04   0.90
   0.86   0.13
   0.91   0.03
   0.92   0.03
   0.49   0.42
   0.79   0.28
   0.85   0.11
   0.36   0.68
   0.13   0.98
   0.77   0.21
   1.00   0.08
   0.13   0.93
   0.09   0.88
   0.55   0.32
   0.73   0.18
   0.99   0.09
   0.86   0.19
   0.70   0.25
   0.29   0.70
   0.05   0.90
   0.08   0.85
   0.14   0.80
   0.46   0.48
   0.76   0.21
   0.82   0.17
