   Vol_A   Vol_B
   0.73   0.18
   0.12   0.96
   0.01   1.08
   0.00   1.05
   0.13   0.90
   0.89   0.12
   0.82   0.11
   0.06   0.93
   0.04   1.02
   0.76   0.24
   0.87   0.08
   0.82   0.15
   0.78   0.26
   0.96   0.06
   1.07   0.01
   0.89   0.05
   0.83   0.16
   0.01   1.04
   0.02   1.07
   0.55   0.38
   0.98   0.01
   0.68   0.24
   0.29   0.65
   0.15   0.88
   0.40   0.66
   0.91   0.03
   0.75   0.19
   0.15   0.90
   0.17   0.77
   0.77   0.23
   0.92   0.08
   0.93   0.06
   0.87   0.09
   0.96   0.04
   1.05   0.00
   0.98   0.02
   0.67   0.29
   0.03   0.89
   0.08   0.91
   0.81   0.22
   1.02   0.00
   1.00   0.07
   0.81   0.21
   0.99   0.04
   0.95   0.05
   1.04   0.02
   0.79   0.13
   0.57   0.33
   0.48   0.47
   0.53   0.44
   0.92   0.07
   0.76   0.23
   0.17   0.86
   0.41   0.43
   0.96   0.12
   0.66   0.26
   0.08   0.97
   0.01   1.05
   0.07   0.90
   0.85   0.10
   1.05   0.01
   0.95   0.06
   0.96   0.10
   0.98   0.00
   1.05   0.00
   0.80   0.09
   0.15   0.85
   0.02   1.04
   0.05   0.94
   0.12   0.83
   0.88   0.17
   0.86   0.16
   0.16   0.84
   0.05   1.00
   0.07   0.87
   0.01   0.96
   0.00   1.06
   0.00   1.07
   0.09   0.81
   0.87   0.12
   0.79   0.22
   0.29   0.70
   0.39   0.53
   0.85   0.08
   0.95   0.04
   0.43   0.49
   0.10   0.91
   0.01   1.04
   0.06   0.97
   0.38   0.57
   0.88   0.09
   0.98   0.03
   0.95   0.09
   0.23   0.67
   0.00   1.04
   0.08   0.96
   0.09   0.89
   0.01   1.03
   0.10   0.96
   0.73   0.20
   0.06   0.92
   0.01   0.98
   0.18   0.81
   0.87   0.11
   0.91   0.09
   0.29   0.66
   0.04   0.89
   0.04   0.96
   0.02   1.05
   0.58   0.41
   0.86   0.19
   0.94   0.02
   1.03   0.05
   0.25   0.69
   0.20   0.79
   0.72   0.24
   0.94   0.10
   0.27   0.78
   0.01   1.02
   0.08   0.94
   0.00   1.00
   0.04   1.06
   0.88   0.20
   0.95   0.02
   0.91   0.11
   0.21   0.84
   0.14   0.82
   0.23   0.79
   0.07   0.89
   0.12   0.85
   0.30   0.68
   0.98   0.01
   1.07   0.00
   0.98   0.07
   0.88   0.08
   1.06   0.00
   0.97   0.01
   0.75   0.25
   0.12   0.81
   0.00   0.98
   0.00   1.04
   0.02   1.07
   0.54   0.46
   0.98   0.01
   1.01   0.04
   0.25   0.69
   0.21   0.67
   0.81   0.17
   0.94   0.11
   0.14   0.79
   0.10   0.86
   0.98   0.03
   0.97   0.00
   0.94   0.03
   0.91   0.08
   0.95   0.06
   0.99   0.09
   0.79   0.12
   0.36   0.63
   0.04   0.96
   0.00   0.98
   0.00   1.01
   0.15   0.79
   0.94   0.05
   1.01   0.01
   0.96   0.00
   0.98   0.04
   1.06   0.00
   0.99   0.10
   0.19   0.73
   0.15   0.83
   0.79   0.22
   1.05   0.00
   0.95   0.03
   0.73   0.21
   0.09   0.92
   0.11   0.94
   0.73   0.24
   0.90   0.09
   0.38   0.61
   0.09   0.89
   0.06   1.04
   0.19   0.85
   0.90   0.08
   1.05   0.04
   1.01   0.00
   0.94   0.00
   0.96   0.00
   0.92   0.09
   0.18   0.88
   0.09   0.97
   0.42   0.53
   0.99   0.08
   0.92   0.12
   0.30   0.67
   0.01   0.91
   0.15   0.80
   0.97   0.09
   1.10   0.00
   0.65   0.29
   0.87   0.13
   0.74   0.21
   0.92   0.14
   0.86   0.08
   0.95   0.01
   0.97   0.00
   0.96   0.00
   0.98   0.00
   0.93   0.02
   0.47   0.43
   0.03   0.94
