   Vol_A   Vol_B
   0.19   0.74
   0.91   0.18
   0.63   0.44
   0.02   1.00
   0.05   0.85
   0.25   0.78
   0.78   0.20
   0.95   0.09
   1.04   0.00
   0.98   0.00
   1.05   0.00
   1.10   0.00
   1.06   0.00
   1.03   0.00
   0.94   0.01
   1.02   0.01
   0.96   0.00
   0.97   0.00
   0.75   0.26
   0.06   0.99
   0.01   1.09
   0.02   1.00
   0.04   1.01
   0.00   1.04
   0.02   0.99
   0.06   0.99
   0.08   0.93
   0.39   0.57
   0.89   0.07
   1.08   0.00
   0.99   0.00
   1.04   0.00
   1.07   0.01
   0.98   0.03
   0.81   0.09
   0.90   0.10
   0.93   0.04
   0.93   0.05
   0.24   0.70
   0.03   0.97
   0.00   1.01
   0.00   1.05
   0.00   1.06
   0.01   0.99
   0.00   0.99
   0.05   0.92
   0.08   0.88
   0.21   0.76
   0.70   0.30
   0.52   0.46
   1.06   0.01
   1.08   0.03
   0.71   0.26
   0.59   0.27
   0.70   0.30
   0.80   0.20
   0.89   0.09
   0.88   0.07
   0.24   0.77
   0.13   0.81
   0.11   0.95
   0.17   0.85
   0.11   0.89
   0.03   0.93
   0.01   1.06
   0.03   0.96
   0.01   0.96
   0.01   1.01
   0.08   0.85
   0.08   0.91
   0.83   0.12
   0.74   0.20
   0.08   0.94
   0.08   0.90
   0.22   0.79
   0.23   0.69
   1.11   0.04
   0.93   0.04
   0.18   0.81
   0.06   1.07
   0.07   0.90
   0.23   0.79
   0.31   0.78
   0.03   1.02
   0.09   0.87
   0.12   0.91
   0.05   0.95
   0.00   1.02
   0.00   1.01
   0.05   0.92
   0.86   0.14
   0.78   0.13
   0.16   0.92
   0.08   0.85
   0.02   1.00
   0.10   1.00
   0.86   0.12
   0.88   0.08
   0.19   0.81
   0.09   0.94
   0.24   0.73
   0.89   0.14
   0.84   0.09
   0.12   0.84
   0.32   0.74
   0.93   0.16
   0.65   0.33
   0.03   1.00
   0.00   0.96
   0.13   0.81
   0.90   0.08
   1.00   0.00
   0.90   0.10
   0.78   0.14
   0.15   0.80
   0.00   1.04
   0.08   0.91
   0.63   0.42
   0.89   0.08
   0.26   0.75
   0.21   0.85
   0.99   0.12
   0.89   0.10
   0.10   0.90
   0.18   0.83
   0.81   0.13
   0.59   0.40
   0.02   0.96
   0.00   0.90
   0.09   0.87
   0.64   0.30
   1.00   0.03
   0.91   0.00
   1.00   0.06
   0.49   0.51
   0.01   1.07
   0.05   0.94
   0.54   0.40
   1.01   0.07
   0.26   0.72
   0.12   0.89
   0.87   0.11
   0.86   0.12
   0.12   0.88
   0.00   0.98
   0.05   0.86
   0.03   1.03
   0.00   1.13
   0.00   0.98
   0.01   0.97
   0.05   0.91
   0.64   0.38
   0.87   0.09
   0.88   0.12
   0.82   0.09
   0.52   0.47
   0.14   0.84
   0.47   0.43
   1.03   0.03
   0.75   0.20
   0.15   0.81
   0.16   0.83
   0.20   0.73
   0.07   0.92
   0.01   0.99
   0.00   1.07
   0.00   0.99
   0.00   0.96
   0.00   1.01
   0.07   0.96
   0.00   0.95
   0.03   0.96
   0.07   0.90
   0.15   0.76
   0.92   0.11
   1.00   0.05
   0.21   0.76
   0.25   0.78
   0.96   0.09
   0.83   0.10
   0.12   0.84
   0.07   0.95
   0.27   0.70
   0.49   0.46
   0.21   0.83
   0.16   0.81
   0.01   1.14
   0.00   0.97
   0.07   0.87
   0.70   0.27
   0.15   0.89
   0.04   0.92
   0.03   1.00
   0.03   0.94
   0.13   0.85
   0.20   0.75
   0.12   0.83
   0.05   0.94
   0.88   0.09
   0.86   0.06
   0.79   0.15
   0.91   0.19
   0.92   0.07
   0.94   0.00
   1.03   0.01
   0.96   0.08
   0.10   0.88
   0.06   0.93
   0.36   0.59
   0.97   0.02
   0.91   0.13
   0.79   0.14
   0.89   0.11
   0.78   0.08
   0.66   0.17
   0.40   0.51
   0.39   0.58
   0.41   0.52
   0.93   0.09
   0.92   0.05
   0.94   0.08
   0.97   0.02
   0.96   0.00
   1.02   0.00
   0.98   0.04
   0.26   0.76
   0.05   0.91
   0.50   0.38
   0.89   0.11
   1.03   0.00
   1.08   0.00
   1.09   0.00
   1.09   0.01
   0.80   0.12
   0.69   0.20
   0.86   0.13
   0.98   0.08
   0.93   0.08
   0.87   0.05
   0.94   0.05
   1.01   0.04
   0.92   0.09
   0.94   0.06
   1.02   0.06
   0.82   0.19
   0.02   1.01
   0.14   0.89
   0.85   0.17
   1.12   0.00
   1.02   0.00
   0.95   0.01
   0.94   0.02
   1.03   0.00
   0.84   0.15
   0.23   0.72
   0.07   1.00
   0.05   0.92
   0.15   0.89
   0.19   0.82
   0.77   0.12
   1.05   0.01
   0.91   0.05
   0.79   0.25
   0.20   0.78
   0.11   0.82
   0.00   1.03
   0.18   0.79
   0.81   0.22
   1.04   0.02
   0.87   0.11
   0.20   0.81
   0.17   0.65
   1.03   0.05
   0.93   0.09
   0.13   0.88
   0.00   1.01
   0.00   1.02
   0.01   0.96
   0.18   0.85
   0.82   0.10
   0.98   0.00
   1.09   0.00
   0.60   0.34
   0.07   0.90
   0.15   0.80
   0.09   0.84
   0.02   1.04
   0.19   0.89
   0.94   0.12
   0.19   0.73
   0.01   1.02
   0.11   0.95
   0.94   0.08
   0.90   0.11
   0.09   0.92
   0.00   1.06
   0.00   1.01
   0.05   0.87
   0.95   0.11
   1.09   0.01
   1.07   0.00
   1.06   0.00
   0.98   0.03
   0.90   0.09
   0.94   0.09
   0.94   0.14
   0.43   0.63
   0.09   0.93
   0.13   0.84
   0.10   0.92
   0.03   0.98
   0.24   0.64
   0.84   0.11
   0.84   0.20
   0.06   0.93
   0.13   0.92
   0.10   0.83
   0.11   0.88
   0.76   0.29
   0.83   0.08
   0.98   0.00
   0.97   0.00
   1.11   0.00
   0.97   0.00
   1.06   0.00
   1.03   0.00
   0.79   0.13
   0.36   0.58
   0.06   1.02
   0.12   0.84
   0.05   1.00
   0.22   0.84
   0.98   0.06
   0.91   0.08
   0.18   0.86
   0.48   0.52
   0.87   0.22
   0.71   0.27
   0.08   0.94
   0.09   0.90
   0.95   0.10
   1.04   0.02
   1.06   0.00
   0.93   0.00
   1.02   0.02
   0.86   0.13
   1.03   0.03
   0.57   0.40
   0.13   0.92
   0.11   0.92
   0.09   0.97
   0.08   0.97
   0.69   0.26
   0.88   0.13
   1.05   0.02
   0.91   0.01
   0.97   0.01
   0.82   0.20
   0.09   0.77
   0.03   1.05
   0.60   0.46
   1.00   0.06
   0.97   0.01
   0.82   0.15
   0.18   0.81
   0.13   0.85
   0.84   0.11
   0.89   0.10
   0.64   0.33
   0.08   0.90
   0.00   1.03
   0.01   1.07
   0.11   0.90
   0.26   0.85
   0.95   0.03
   0.96   0.00
   0.99   0.00
   0.84   0.14
   0.14   0.83
   0.01   0.97
   0.22   0.77
   0.89   0.11
   0.91   0.11
   0.15   0.83
   0.02   1.05
   0.08   0.93
   0.93   0.12
   0.95   0.02
   0.83   0.19
   0.49   0.49
   0.15   0.88
   0.26   0.73
   0.18   0.81
   0.53   0.46
   0.96   0.05
   0.99   0.00
   0.99   0.00
   0.97   0.06
   0.17   0.88
   0.00   0.97
   0.07   0.94
   0.74   0.21
   0.62   0.33
   0.01   0.98
   0.00   1.05
   0.06   0.96
   0.82   0.24
   0.94   0.10
   0.89   0.10
   0.83   0.08
   0.91   0.08
   0.96   0.03
   0.83   0.14
   0.97   0.09
   1.01   0.01
   0.99   0.05
   0.90   0.03
   0.98   0.00
   0.68   0.23
   0.05   0.92
   0.00   1.07
   0.01   1.02
   0.02   0.96
   0.00   1.05
   0.00   1.00
   0.00   1.06
   0.06   0.94
   0.16   0.81
   0.83   0.17
   0.97   0.02
   0.96   0.02
   0.95   0.08
   0.83   0.20
   0.63   0.36
   0.48   0.48
   0.23   0.75
   0.25   0.60
   0.98   0.07
   0.64   0.36
   0.17   0.88
   0.16   0.75
   0.13   0.81
   0.07   0.93
   0.07   0.95
   0.00   1.06
   0.00   0.97
   0.00   1.01
   0.02   0.91
   0.53   0.51
   0.68   0.32
   0.98   0.02
   0.89   0.16
   0.21   0.74
   0.06   1.02
   0.05   0.96
   0.07   1.05
   0.16   0.81
   1.02   0.03
   0.92   0.10
   0.86   0.16
   0.96   0.10
   0.93   0.07
   0.87   0.13
   0.86   0.20
   0.11   0.84
   0.01   1.02
   0.00   1.05
   0.00   1.04
   0.10   0.90
   0.12   0.95
   0.94   0.02
   0.91   0.03
   0.10   0.93
   0.00   1.05
   0.06   0.91
   0.14   0.80
   0.89   0.15
   0.97   0.00
   0.95   0.08
   0.81   0.16
   0.85   0.09
   0.95   0.06
   0.95   0.04
   0.54   0.37
   0.11   0.89
   0.03   0.96
   0.01   0.99
   0.00   0.99
   0.00   1.03
   0.08   0.85
   0.96   0.06
   0.94   0.03
   0.33   0.67
   0.11   0.83
   0.00   0.92
   0.13   0.86
   0.85   0.18
   0.99   0.07
   1.00   0.05
   0.81   0.11
   0.93   0.06
   1.05   0.00
   0.95   0.03
   0.11   0.92
   0.32   0.67
   0.67   0.29
   0.09   0.92
   0.00   0.94
   0.00   0.91
   0.08   0.95
   0.83   0.10
   1.05   0.01
   0.99   0.07
   0.82   0.24
   0.04   1.00
   0.00   1.06
   0.05   0.94
   0.41   0.50
   1.05   0.01
   0.91   0.04
   0.86   0.10
   0.94   0.01
   0.90   0.07
   0.11   0.86
   0.26   0.77
   0.80   0.25
   0.06   0.94
   0.00   0.98
   0.00   1.00
   0.01   1.00
   0.30   0.62
   0.94   0.07
   0.80   0.10
   0.44   0.59
   0.05   0.95
   0.04   0.91
   0.13   0.82
   0.61   0.38
   0.95   0.05
   0.43   0.54
   0.20   0.84
   0.87   0.13
   0.81   0.12
   0.03   0.98
   0.02   0.99
   0.11   0.79
   0.01   1.02
   0.00   0.97
   0.00   0.95
   0.00   1.05
   0.04   1.10
   0.73   0.23
   0.91   0.17
   0.21   0.82
   0.06   0.88
   0.73   0.24
   0.84   0.10
   0.98   0.06
   0.94   0.08
   0.45   0.49
   0.04   0.89
   0.13   0.82
   0.13   0.83
   0.01   0.94
   0.01   0.99
   0.01   0.98
   0.00   1.00
   0.00   1.10
   0.00   1.04
   0.05   0.99
   0.00   1.02
   0.06   0.97
   0.08   0.93
   0.01   0.90
   0.31   0.69
   0.90   0.14
   0.86   0.13
   0.66   0.27
   0.85   0.09
   0.66   0.29
   0.15   0.78
   0.06   0.83
   0.12   0.85
   0.28   0.59
   0.65   0.32
   0.72   0.29
   0.05   0.95
   0.00   0.89
   0.00   1.02
   0.22   0.74
   0.06   0.95
   0.06   0.92
   0.02   0.90
   0.01   0.99
   0.00   0.99
   0.07   0.99
   0.09   0.89
   0.01   0.99
   0.12   0.87
   0.04   0.95
   0.07   0.96
   0.17   0.88
   0.90   0.09
   0.94   0.07
   0.90   0.07
   0.85   0.15
   0.05   0.97
   0.05   0.93
   0.10   0.88
   0.62   0.32
   0.37   0.56
   0.83   0.21
   0.74   0.25
   0.18   0.79
   0.08   0.88
   0.04   0.93
   0.06   0.89
   0.11   0.86
   0.21   0.75
   0.11   0.91
   0.04   0.94
   0.32   0.64
   1.00   0.05
   1.09   0.00
   1.01   0.04
   0.18   0.75
   0.04   0.96
   0.81   0.15
   0.82   0.09
   1.01   0.00
   1.05   0.02
   0.95   0.04
   0.81   0.17
   0.12   0.87
   0.05   0.93
   0.07   0.94
   0.12   0.80
   0.39   0.64
   0.65   0.33
   0.27   0.69
   0.22   0.76
   0.50   0.41
   1.03   0.02
   0.81   0.08
   0.85   0.14
   0.02   1.06
   0.06   0.93
   0.91   0.10
   1.03   0.00
   0.99   0.00
   1.06   0.00
   1.06   0.00
   0.96   0.03
   0.08   1.00
   0.01   1.03
   0.01   1.07
   0.01   1.02
   0.05   0.94
   0.09   0.99
   0.24   0.83
   0.71   0.32
   0.80   0.15
   0.92   0.07
   0.27   0.73
   0.14   0.94
   0.00   1.08
   0.07   0.87
   0.78   0.17
   1.02   0.01
   1.05   0.04
   0.78   0.15
   0.89   0.12
   0.93   0.10
   0.15   0.76
   0.00   0.96
   0.00   1.07
   0.00   0.97
   0.03   1.02
   0.07   0.95
   0.29   0.62
   0.99   0.02
   1.11   0.00
   0.92   0.04
   0.18   0.87
   0.05   0.96
   0.01   1.07
   0.05   0.96
   0.26   0.67
   0.94   0.05
   0.81   0.20
   0.15   0.93
   0.07   0.94
   0.08   0.89
   0.02   1.00
   0.00   1.03
   0.00   1.09
   0.00   1.00
   0.18   0.73
   0.89   0.13
   1.10   0.02
   1.01   0.00
   1.02   0.00
   1.04   0.00
   0.88   0.05
   0.83   0.17
   0.55   0.43
   0.56   0.46
   0.85   0.17
   0.84   0.09
   0.82   0.23
   0.17   0.86
   0.06   0.96
   0.21   0.78
   0.14   0.91
   0.07   0.96
   0.09   0.94
   0.01   1.02
   0.07   0.96
   0.73   0.25
   0.98   0.05
   0.96   0.01
   1.01   0.00
   1.01   0.00
   0.97   0.00
   0.95   0.06
   0.98   0.07
   0.92   0.03
   0.91   0.10
   0.85   0.21
   0.92   0.07
   0.83   0.13
   0.67   0.24
   1.03   0.08
   0.95   0.09
   0.82   0.17
   0.82   0.16
   0.25   0.77
   0.02   1.01
   0.00   0.93
   0.11   0.88
   0.64   0.36
   0.84   0.18
   0.95   0.05
   1.06   0.00
   0.79   0.20
   0.27   0.72
   0.59   0.37
   0.88   0.04
   0.84   0.09
   0.84   0.11
   0.77   0.15
   0.77   0.23
   0.97   0.07
   0.89   0.13
   0.95   0.01
   0.95   0.00
   0.99   0.06
   0.33   0.72
   0.01   1.01
   0.00   1.04
   0.03   1.02
   0.14   0.91
   0.57   0.44
   0.90   0.16
   0.13   0.88
   0.02   1.01
   0.13   0.92
   0.41   0.54
   0.90   0.06
   0.35   0.62
   0.08   0.91
   0.12   0.88
   0.11   0.90
   0.08   0.92
   0.97   0.05
   0.99   0.00
   0.96   0.00
   0.66   0.28
   0.07   0.86
   0.00   0.98
   0.01   0.92
   0.09   0.99
   0.08   0.90
   0.03   0.98
   0.00   1.00
   0.00   1.04
   0.26   0.66
   0.66   0.37
   0.79   0.19
   0.09   0.86
   0.02   0.99
   0.09   0.87
   0.04   0.94
   0.18   0.78
   1.00   0.05
   0.98   0.00
   1.07   0.00
   0.88   0.13
   0.21   0.78
   0.00   1.00
   0.02   1.03
   0.05   0.96
   0.02   1.01
   0.00   1.04
   0.00   1.04
   0.00   1.08
   0.25   0.77
   0.61   0.31
   0.52   0.55
   0.21   0.74
   0.68   0.24
   0.70   0.29
   0.09   0.94
   0.22   0.75
   0.54   0.56
   0.84   0.15
   0.98   0.05
   1.05   0.00
   0.88   0.16
   0.06   0.99
   0.00   1.01
   0.00   0.96
   0.00   1.01
   0.00   1.08
   0.00   0.95
   0.00   0.98
   0.03   0.90
   0.16   0.85
   0.10   0.86
   0.91   0.12
   0.95   0.06
   0.44   0.56
   0.13   0.84
   0.01   0.97
   0.04   1.00
   0.04   1.01
   0.11   0.93
   0.90   0.07
   0.97   0.11
   0.20   0.72
   0.18   0.85
   0.12   0.91
   0.11   0.85
   0.12   0.90
   0.14   0.82
   0.01   1.00
   0.00   1.03
   0.00   1.08
   0.15   0.79
   0.88   0.11
   1.05   0.04
   0.22   0.85
   0.02   1.00
   0.00   1.09
   0.02   1.08
   0.07   0.97
   0.23   0.83
   0.92   0.09
   0.92   0.00
   0.98   0.06
   0.92   0.09
   0.91   0.06
   0.84   0.09
   0.99   0.04
   0.57   0.40
   0.05   0.94
   0.01   0.99
   0.01   0.98
   0.10   0.92
   0.33   0.65
   1.02   0.00
   0.87   0.08
   0.18   0.86
   0.01   1.03
   0.63   0.34
   0.86   0.17
   0.93   0.06
   1.05   0.00
   0.99   0.00
   1.04   0.00
   1.05   0.00
   0.99   0.00
   1.12   0.00
   0.93   0.02
   0.85   0.19
   0.22   0.77
   0.03   0.97
   0.04   0.90
   0.13   0.80
   0.31   0.68
   1.11   0.02
   0.94   0.03
   0.22   0.77
   0.03   1.06
   0.67   0.33
   0.95   0.08
   0.74   0.20
   0.84   0.15
   0.99   0.00
   1.04   0.00
   1.00   0.00
   0.99   0.00
   0.94   0.00
   0.88   0.07
   0.96   0.07
   0.69   0.20
   0.06   0.97
   0.06   0.84
   0.17   0.86
   0.10   0.92
   0.93   0.13
   0.88   0.11
   0.60   0.37
   0.31   0.63
   0.09   0.92
   0.08   0.99
   0.03   1.02
   0.21   0.72
   0.96   0.02
   1.09   0.00
   0.95   0.02
   1.09   0.00
   1.03   0.01
   0.84   0.11
   0.78   0.13
   0.80   0.29
   0.06   0.94
   0.01   1.05
   0.02   0.99
   0.01   1.02
   0.16   0.78
   0.49   0.55
   0.24   0.80
   0.07   0.98
   0.01   0.98
   0.06   0.93
   0.10   0.96
   0.18   0.80
   0.82   0.20
   0.85   0.18
   0.45   0.50
   0.96   0.09
   0.79   0.06
   0.20   0.82
   0.23   0.69
   0.17   0.87
   0.00   0.97
   0.00   1.00
   0.00   1.02
   0.00   1.00
   0.01   0.99
   0.10   0.97
   0.07   1.02
   0.02   1.04
   0.03   0.97
   0.69   0.24
   0.83   0.17
   0.65   0.32
   0.14   0.82
   0.08   0.91
   0.06   0.96
   0.13   0.87
   0.11   0.85
   0.02   0.95
   0.02   0.99
   0.01   1.07
   0.00   0.99
   0.00   0.96
   0.00   1.09
   0.00   1.05
   0.00   1.03
   0.00   0.99
   0.00   1.13
   0.00   0.99
   0.07   0.91
   0.88   0.20
   0.81   0.21
   0.30   0.71
   0.07   0.93
   0.03   1.07
   0.02   1.02
   0.01   0.96
   0.15   0.94
   0.16   0.86
   0.35   0.62
   0.63   0.32
   0.01   1.05
   0.00   1.11
   0.00   1.10
   0.03   1.04
   0.00   0.98
   0.00   1.08
   0.00   0.93
   0.00   0.95
   0.00   0.95
   0.00   0.95
   0.00   1.03
   0.00   0.99
   0.00   1.07
   0.00   1.00
   0.00   1.07
   0.07   0.97
   0.86   0.12
   1.00   0.07
   0.90   0.14
   0.47   0.49
   0.01   1.01
   0.03   0.98
   0.04   0.97
   0.45   0.52
   0.08   1.01
   0.05   0.89
   0.03   0.87
   0.00   1.07
   0.00   0.97
   0.00   0.92
   0.00   1.05
   0.08   0.86
   0.06   0.96
   0.02   1.00
   0.00   0.97
   0.09   0.88
   0.97   0.10
   1.10   0.01
   0.98   0.06
   0.13   0.87
   0.01   1.01
   0.66   0.33
   0.85   0.12
   1.04   0.01
   0.69   0.36
   0.16   0.82
   0.10   0.92
   0.00   1.00
   0.00   0.90
   0.00   0.92
   0.00   0.99
   0.06   0.93
   0.11   0.86
   0.03   0.99
   0.00   1.05
   0.14   0.87
   0.87   0.13
   0.55   0.39
   0.13   0.78
   0.00   1.11
   0.05   0.98
   0.92   0.06
   1.07   0.00
   0.98   0.02
   0.91   0.07
   0.82   0.16
   0.65   0.34
   0.01   1.03
   0.00   0.96
   0.00   0.94
   0.00   0.96
   0.00   0.88
   0.15   0.84
   0.11   0.84
   0.21   0.73
   0.28   0.73
   0.82   0.20
   0.21   0.74
   0.01   0.95
   0.00   1.00
   0.04   0.95
   0.88   0.17
   1.08   0.00
   0.94   0.03
   0.88   0.11
   0.90   0.06
   0.73   0.20
   0.03   0.88
   0.00   1.06
   0.00   0.98
   0.00   0.96
   0.01   1.00
   0.17   0.81
   0.20   0.90
   0.82   0.05
   0.89   0.04
   0.91   0.10
   0.17   0.80
   0.01   0.91
   0.00   1.09
   0.09   0.83
   0.88   0.15
   1.05   0.01
   0.94   0.07
   0.19   0.79
   0.13   0.89
   0.15   0.86
   0.01   0.91
   0.00   1.00
   0.00   0.99
   0.00   1.01
   0.04   0.96
   0.77   0.17
   0.99   0.07
   0.99   0.00
   1.03   0.00
   1.01   0.02
   0.79   0.15
   0.14   0.77
   0.02   0.96
   0.25   0.67
   1.02   0.10
   1.02   0.01
   0.84   0.05
   0.26   0.83
   0.08   0.95
   0.10   0.88
   0.05   0.88
   0.07   0.92
   0.08   0.82
   0.02   0.96
   0.06   0.86
   0.73   0.26
   1.00   0.06
   0.88   0.10
   0.91   0.06
   1.09   0.01
   0.93   0.09
   0.11   0.97
   0.19   0.78
   0.96   0.08
   0.98   0.00
   1.05   0.00
   0.98   0.01
   1.00   0.08
   0.93   0.07
   0.82   0.25
   0.85   0.11
   0.97   0.05
   0.85   0.09
   0.18   0.74
   0.03   0.95
   0.04   1.01
   0.02   0.98
   0.07   0.93
   0.26   0.79
   0.69   0.24
   0.81   0.13
   0.44   0.58
   0.06   0.96
   0.59   0.32
   0.94   0.07
   0.86   0.08
   0.79   0.15
   0.98   0.02
   0.95   0.01
   1.06   0.02
   1.02   0.02
   1.03   0.00
   1.06   0.00
   0.85   0.08
   0.17   0.77
   0.00   0.99
   0.00   1.00
   0.00   0.99
   0.00   1.05
   0.11   0.91
   0.48   0.48
   0.08   0.92
   0.00   1.03
   0.07   0.89
   0.07   0.95
   0.23   0.66
   0.16   0.76
   0.29   0.74
   0.90   0.13
   0.94   0.09
   0.91   0.07
   0.98   0.01
   0.99   0.00
   0.98   0.02
   0.44   0.56
   0.00   0.99
   0.00   1.03
   0.00   1.02
   0.00   1.04
   0.01   1.01
   0.02   1.05
   0.00   0.98
   0.00   1.00
   0.00   1.00
   0.01   1.12
   0.07   1.08
   0.01   1.01
   0.09   0.91
   0.92   0.17
   0.75   0.26
   0.74   0.19
   0.92   0.01
   1.03   0.00
   1.08   0.00
   0.69   0.31
   0.08   0.87
   0.00   1.01
   0.00   1.09
   0.00   0.92
   0.00   0.99
   0.00   1.01
   0.00   1.01
   0.00   1.07
   0.01   1.05
   0.01   0.91
   0.02   1.01
   0.00   0.97
   0.05   0.90
   0.17   0.85
   0.08   0.89
   0.07   0.90
   0.29   0.71
   0.56   0.40
   0.99   0.03
   1.07   0.03
   0.79   0.21
   0.04   0.97
   0.00   0.99
   0.00   0.99
   0.00   1.08
   0.02   0.97
   0.02   1.00
   0.10   0.83
   0.10   0.97
   0.01   1.06
   0.00   1.01
   0.69   0.29
   0.31   0.68
   0.04   1.00
   0.00   0.99
   0.00   1.03
   0.03   0.96
   0.14   0.85
   0.42   0.57
   0.93   0.02
   0.88   0.10
   0.17   0.82
   0.09   0.91
   0.17   0.76
   0.36   0.61
   0.64   0.34
   0.53   0.41
   0.21   0.72
   0.21   0.85
   0.02   0.90
   0.12   0.85
   0.99   0.10
   0.92   0.06
   0.46   0.53
   0.07   0.92
   0.00   1.05
   0.05   0.94
   0.52   0.39
   0.89   0.11
   1.12   0.00
   0.99   0.01
   0.94   0.06
   0.85   0.09
   0.84   0.03
   0.91   0.01
   0.95   0.00
   0.91   0.08
   0.82   0.17
   0.75   0.23
   0.15   0.83
   0.24   0.70
   1.06   0.02
   1.05   0.00
   0.93   0.05
   0.26   0.73
   0.03   0.87
   0.54   0.43
   0.99   0.05
   1.01   0.02
   1.00   0.00
   0.95   0.00
   1.02   0.00
   1.05   0.00
   0.96   0.00
   1.02   0.00
   0.97   0.00
   1.01   0.01
   1.02   0.01
   0.93   0.05
   0.76   0.17
   0.86   0.09
   0.89   0.10
   1.02   0.00
   1.07   0.01
   0.35   0.58
   0.10   0.88
   0.80   0.20
   0.89   0.13
   0.52   0.41
   0.83   0.23
   0.91   0.03
   0.99   0.00
   1.01   0.00
   0.97   0.00
   1.00   0.00
   1.03   0.00
   1.02   0.00
   1.02   0.00
   0.95   0.05
   0.83   0.12
   0.94   0.08
   0.35   0.56
   0.89   0.09
   0.94   0.07
   0.62   0.40
   0.09   0.93
   0.06   0.91
   0.04   0.95
   0.05   1.07
   0.14   0.96
   0.76   0.15
   0.97   0.00
   0.97   0.00
   1.06   0.00
   0.99   0.00
   0.95   0.01
   1.00   0.01
   0.93   0.11
   0.61   0.34
   0.15   0.85
   0.08   0.89
   0.00   0.96
   0.02   0.98
   0.05   0.96
   0.03   0.97
   0.01   1.05
   0.00   1.01
   0.05   0.94
   0.04   0.92
   0.04   0.98
   0.48   0.44
   0.89   0.09
   0.82   0.02
